Employee Count,Funding Amount (M$),Number of Investors,Investor Reputation,Economic Indicator,Sector Growth Rate (%),Estimated Valuation (M$),Revenue (M$),Profit Margin (%),Years Since Founded,Funding Month,Funding Year,Industry_Biotech,Industry_Cybersecurity,Industry_E-commerce,Industry_EdTech,Industry_FinTech,Industry_GreenTech,Industry_HealthTech,Industry_Robotics,Industry_SaaS,Market Trend_Bullish,Market Trend_Stable
-0.4899242398378789,-0.5092634239997477,-1.6618462047165754,0.019846537460591018,1.0551971509670106,-0.752266567369132,-1.1812573885238957,-1.609451076575945,-0.6674776093423523,-1.8121100889084096,1,2020,True,False,False,False,False,False,False,False,False,False,False
-0.4899242398378789,-1.0441606636460845,1.6469565921307623,0.9498388695444709,0.27562330276573527,0.8307421628286964,0.08609743564667165,0.15499628613853542,-0.9854778303721436,-1.8121100889084096,2,2020,True,False,False,False,False,False,False,False,False,False,False
-0.4899242398378789,0.8426823712667233,-0.3750895614981662,0.24335605175135752,1.3875539380425295,0.3740832576409411,0.19049695343766251,-0.29310659282536705,-0.3769031742436787,-1.8121100889084096,3,2020,True,False,False,False,False,False,False,False,False,True,False
-0.4899242398378789,-1.8474134246140006,-0.3750895614981662,-0.4371545311167142,0.29106856766472056,0.8826692502749419,-1.2356472158477971,0.8710661685192348,0.9494054573238115,-1.8121100889084096,4,2020,True,False,False,False,False,False,False,False,False,False,False
-0.4899242398378789,1.403286434555018,1.2793118369255025,-0.17608444013207142,1.2218006774517098,-1.2438754080515315,2.313425724406655,0.3848645660377016,-1.184613350870802,-1.8121100889084096,5,2020,True,False,False,False,False,False,False,False,False,True,False
-0.4899242398378789,0.33780702492550546,1.2793118369255025,0.5390440367304037,1.1845144356515946,1.699447401192996,1.3253872974457677,0.4197425226337705,-0.41896564999311764,-1.8121100889084096,6,2020,True,False,False,False,False,False,False,False,False,False,True
-0.4899242398378789,0.7331111775100589,-0.007444806292906466,0.5327177187516334,1.6185310002075433,-1.332890668208376,0.5291134541172335,1.694783470297251,0.2835123129009327,-1.8121100889084096,7,2020,True,False,False,False,False,False,False,False,False,False,True
-0.4899242398378789,-0.413627034885756,0.5440223265149832,0.04820903312036292,0.5892344562313696,-1.5308213751056774,0.05571011177069092,-1.8105564550583622,-0.37780765889913964,-1.8121100889084096,8,2020,True,False,False,False,False,False,False,False,False,True,False
-0.4899242398378789,-0.7933442643066307,-0.7427343167034259,0.8588337373552986,1.5520597451601288,0.40738248007204464,-0.6652056434468608,-0.4335747437423206,1.3026227239593857,-1.8121100889084096,9,2020,True,False,False,False,False,False,False,False,False,True,False
-0.4899242398378789,-1.0350568461905747,-1.1103790719086857,-1.3610354925609514,-0.24796464067913904,1.1517187226049452,-1.24819081760665,0.8396496968536213,-0.6699413099852923,-1.8121100889084096,10,2020,True,False,False,False,False,False,False,False,False,True,False
